anchor_product_code,anchor_product_name,anchor_role,recommended_role,rank,product_code,product_name,brand_name,image_url,image_url_00,image_url_01,image_url_02,item_role,category_name,color_group,fit_type,top_subtype,bottom_subtype,sleeve_length_type,pants_length_type,display_mood_tag,final_score,styling_score,mood_score,color_score,formality_score,fit_score,brand_score,age_score,popularity_score,role_compatibility_score,season_profile_label,season_warm_weight,season_mid_weight,season_cold_weight,season_temperature_score,reason_text
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,top,1,IETS5E411WT,SLOW LIFE 반팔 티셔츠 화이트,일꼬르소,https://nimg.lfmall.co.kr/file/product/prd/IE/2025/750/IETS5E411WT_00.jpg?1739287780000,https://nimg.lfmall.co.kr/file/product/prd/IE/2025/750/IETS5E411WT_00.jpg?1739287780000,https://nimg.lfmall.co.kr/file/product/prd/IE/2025/750/IETS5E411WT_01.jpg?1739287780000,,top,티셔츠,화이트/아이보리,unknown,short_sleeve_tshirt,not_applicable,short_sleeve,not_applicable,casual+minimal,3763.5,88.9458,100.0,90.0,96.0,60.0,85.0,100.0,79.2984,87.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,top,2,IETS5E703WT,[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트,일꼬르소,https://nimg.lfmall.co.kr/file/product/prd/IE/2025/750/IETS5E703WT_00.jpg?1763396010000,https://nimg.lfmall.co.kr/file/product/prd/IE/2025/750/IETS5E703WT_00.jpg?1763396010000,https://nimg.lfmall.co.kr/file/product/prd/IE/2025/750/IETS5E703WT_01.jpg?1763396010000,,top,티셔츠,화이트/아이보리,unknown,short_sleeve_tshirt,not_applicable,short_sleeve,not_applicable,casual+minimal,3697.5,88.7789,100.0,90.0,96.0,60.0,85.0,100.0,77.9077,87.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,top,3,TNTS5E206WT,Essential Round Neck T-Shirt (White),티엔지티,https://nimg.lfmall.co.kr/file/product/prd/B000/2025/750/TNTS5E206WT_00.jpg?1744800611000,https://nimg.lfmall.co.kr/file/product/prd/B000/2025/750/TNTS5E206WT_00.jpg?1744800611000,https://nimg.lfmall.co.kr/file/product/prd/B000/2025/750/TNTS5E206WT_01.jpg?1744800611000,https://nimg.lfmall.co.kr/file/product/prd/B000/2025/750/TNTS5E206WT_02.jpg?1744800611000,top,티셔츠,화이트/아이보리,unknown,short_sleeve_tshirt,not_applicable,short_sleeve,not_applicable,casual+minimal,3842.0,88.3235,100.0,90.0,100.0,60.0,65.0,89.9735,80.9524,87.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,top,4,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,질스튜어트 뉴욕 남성,https://nimg.lfmall.co.kr/file/product/prd/JN/2025/750/JNTS5B201WT_00.jpg?1756748994000,https://nimg.lfmall.co.kr/file/product/prd/JN/2025/750/JNTS5B201WT_00.jpg?1756748994000,https://nimg.lfmall.co.kr/file/product/prd/JN/2025/750/JNTS5B201WT_01.jpg?1756748994000,,top,티셔츠,화이트/아이보리,regular,short_sleeve_tshirt,not_applicable,short_sleeve,not_applicable,casual,3608.0,87.4918,100.0,90.0,98.0,60.0,65.0,89.9735,76.0219,87.0,summer,1.0,0.0,0.0,0.0,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,top,5,DMTS5B304WT,[워셔블] 화이트 기능성 반팔 카라 티셔츠,닥스 남성,https://nimg.lfmall.co.kr/file/product/prd/DM/2025/750/DMTS5B304WT_00.jpg?1773249861000,https://nimg.lfmall.co.kr/file/product/prd/DM/2025/750/DMTS5B304WT_00.jpg?1773249861000,https://nimg.lfmall.co.kr/file/product/prd/DM/2025/750/DMTS5B304WT_01.jpg?1773249861000,https://nimg.lfmall.co.kr/file/product/prd/DM/2025/750/DMTS5B304WT_02.jpg?1773249861000,top,티셔츠,화이트/아이보리,unknown,short_sleeve_tshirt,not_applicable,short_sleeve,not_applicable,casual,3905.5,87.4786,98.8108,90.0,94.0,60.0,65.0,89.9735,82.2903,87.0,summer,1.0,0.0,0.0,0.0,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,outer,1,TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),요요기 플리츠 바이 티엔지티,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107BK_00.jpg?1778173943000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107BK_00.jpg?1778173943000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107BK_01.jpg?1778173943000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107BK_02.jpg?1778173943000,outer,점퍼,블랙,unknown,hoodie,not_applicable,not_applicable,not_applicable,casual,4746.0,86.7505,94.6719,82.0,98.0,60.0,65.0,89.9735,100.0,82.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,outer,2,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),요요기 플리츠 바이 티엔지티,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107N2_00.jpg?1778174024000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107N2_00.jpg?1778174024000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107N2_01.jpg?1778174024000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107N2_02.jpg?1778174024000,outer,점퍼,네이비,unknown,hoodie,not_applicable,not_applicable,not_applicable,casual,4270.0,84.2869,94.6719,75.0,98.0,60.0,65.0,89.9735,89.9705,82.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
IEPA5E408BK,나일론 카고 반바지 블랙,bottom,outer,3,TNJU6E107W2,Yoyogi Pleats Hooded Zip-Up (Brown),요요기 플리츠 바이 티엔지티,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107W2_00.jpg?1778174033000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107W2_00.jpg?1778174033000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107W2_01.jpg?1778174033000,https://nimg.lfmall.co.kr/file/product/prd/TN/2026/750/TNJU6E107W2_02.jpg?1778174033000,outer,점퍼,브라운,unknown,hoodie,not_applicable,not_applicable,not_applicable,casual,4208.0,84.1302,94.6719,75.0,98.0,60.0,65.0,89.9735,88.6641,82.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
