rank,set_type,anchor_product_code,anchor_product_name,anchor_role,bottom_product_code,bottom_product_name,top_product_code,top_product_name,outer_product_code,outer_product_name,bottom_top_score,bottom_outer_score,top_outer_base_score,top_outer_season_score,top_outer_score,top_outer_season_distance,top_outer_season_reason,triplet_season_penalty,set_score,top_reason_text,outer_reason_text,set_reason
1,2piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E101B3,워시드 다이얼 와이드 팬츠 오션 네이비,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,,,87.8196,0.0,0.0,0.0,0.0,0.0,,0.0,87.8196,,,워시드 다이얼 와이드 팬츠 오션 네이비 하의와의 2피스 조합
2,2piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E101B2,워시드 다이얼 와이드 데님 팬츠 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,,,87.8113,0.0,0.0,0.0,0.0,0.0,,0.0,87.8113,,,워시드 다이얼 와이드 데님 팬츠 블루 하의와의 2피스 조합
3,2piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,JNPA5B005B5,[BEST]원워시드 데님 스트링 밴딩팬츠,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,,,87.7028,0.0,0.0,0.0,0.0,0.0,,0.0,87.7028,,,[BEST]원워시드 데님 스트링 밴딩팬츠 하의와의 2피스 조합
4,2piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,JNPA5B005B1,[BEST][컬러추가] 스카이블루워싱 데님 스트링 밴딩팬츠,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,,,87.7028,0.0,0.0,0.0,0.0,0.0,,0.0,87.7028,,,[BEST][컬러추가] 스카이블루워싱 데님 스트링 밴딩팬츠 하의와의 2피스 조합
5,2piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E406B2,카펜터 데님 반바지 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,,,87.6909,0.0,0.0,0.0,0.0,0.0,,0.0,87.6909,,,카펜터 데님 반바지 블루 하의와의 2피스 조합
