anchor_product_code,anchor_product_name,anchor_role,recommended_role,rank,product_code,product_name,brand_name,item_role,category_name,color_group,fit_type,top_subtype,bottom_subtype,sleeve_length_type,pants_length_type,display_mood_tag,final_score,styling_score,mood_score,color_score,formality_score,fit_score,brand_score,age_score,popularity_score,role_compatibility_score,season_profile_label,season_warm_weight,season_mid_weight,season_cold_weight,season_temperature_score,reason_text
ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,outer,1,TNJA5F202G2,Heavy Wool Oversized Blazer (Grey),티엔지티,outer,자켓,그레이/차콜,oversized,jacket,not_applicable,not_applicable,not_applicable,business_casual,3954.0,84.3116,100.0,82.0,100.0,78.0,65.0,97.1825,78.7179,65.0,fall_winter,0.0,0.25,0.75,0.875,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,outer,2,TNCO4F101G2,멜란지그레이 『Cashmere-Blended』 오버핏 3버튼 테일러드 코트,티엔지티,outer,코트,그레이/차콜,oversized,coat,not_applicable,not_applicable,not_applicable,business_casual,3630.0,83.5376,100.0,82.0,100.0,78.0,65.0,97.1825,72.2676,65.0,fall_winter,0.0,0.25,0.75,0.875,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음"
ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,outer,3,TNJA5F202W2,Heavy Wool Oversized Blazer (Brown),티엔지티,outer,자켓,브라운,oversized,jacket,not_applicable,not_applicable,not_applicable,business_casual,3800.0,82.6837,100.0,75.0,100.0,78.0,65.0,97.1825,75.652,65.0,fall_winter,0.0,0.25,0.75,0.875,"무드 조화가 좋음, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,outer,4,WHCO3D462G2,[클리어런스][스테디셀러]그레이 탈착내피 하프코트,헤지스 남성,outer,코트,그레이/차콜,unknown,coat,not_applicable,not_applicable,not_applicable,business_casual+minimal,4049.5,82.6198,100.0,82.0,96.0,60.0,65.0,97.1825,80.6192,65.0,winter,0.0,0.0,1.0,1.0,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,outer,5,TNJA6E100CG,High Wool Blend Comfort Jacket (Charcoal),티엔지티,outer,자켓,그레이/차콜,relaxed,jacket,not_applicable,not_applicable,not_applicable,business_casual,3878.0,82.6101,100.0,82.0,98.0,62.0,65.0,97.1825,77.2049,65.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
