product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,display_category_id,soldout,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
JNTS5C105CG,모크넥 스웻셔츠 - 차콜그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,350000,209470,40,0,0,0,0.0,20110219,False,20,0,0,39,"S (95):7, M (100):11, L (105):12, XL (110):9",75,"차콜 그레이:39, 아이보리:36",남성의류,티셔츠,긴팔티셔츠
JNJA5B303N3,다크네이비 가먼트다잉 서머 자켓,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,740000,442890,40,0,0,0,0.0,20110219,False,0,0,0,13,"S (95):0, M (100):5, L (105):5, XL (110):3",13,진한 네이비:13,남성의류,자켓,숏/하프자켓
JNJU5D306BK,[Loro-piana원단] 스톰시스템 씬다운 블루종 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,1390000,875700,37,0,0,0,0.0,20110219,False,33,0,0,32,"S (95):6, M (100):12, L (105):12, XL (110):2",32,블랙:32,남성의류,점퍼,다운점퍼
JNJA4C081BK,[클리어런스][RIOPELE] 블랙 컴포트 셋업 자켓,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,740000,278720,62,0,0,2,5.0,110219,False,26,0,0,6,"S (95):5, M (100):1, L (105):0, XL (110):0",17,"블랙:6, 밝은 그레이:11",남성의류,자켓,숏/하프자켓
JNTS6B403CG,THE NEW ROUGH 그래픽 티셔츠 - 차콜그레이,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,220000,198000,10,0,0,1,5.0,121281,False,0,0,0,21,"S (95):5, M (100):6, L (105):5, XL (110):5",36,"차콜 그레이:21, 흰색:15",남성의류,티셔츠,반팔티셔츠
WYJA5A101N3,[스테디셀러]다크네이비 텍스쳐 베이직 자켓,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],"봄, 여름, 가을",1,1,1,0,0,690000,434700,37,0,0,0,0.0,110219,False,58,0,0,11,"100:0, 105:3, 110:4, 115:4",36,"진한 그레이:7, 베이지:18, 진한 네이비:11",남성의류,자켓,숏/하프자켓
JNTS5C109N3,멀티 스트라이프 긴팔 티셔츠 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,210000,132300,37,0,0,2,5.0,20110219,False,57,0,0,8,"S (95):2, M (100):3, L (105):3",11,"밝은 베이지:3, 진한 네이비:8",남성의류,티셔츠,긴팔티셔츠
JNSH5C204G3,[TOLLEGNO] 오버핏 버튼 셔츠 - 다크그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,520000,311220,40,0,0,0,0.0,20110219,False,37,0,0,25,"S (95):6, M (100):7, L (105):7, XL (110):5",52,"진한 그레이:25, 네이비:27",남성의류,셔츠,긴팔캐쥬얼셔츠
JNPA5B502N3,[E.ZEGNA 원단] 다크네이비 시그니처 솔리드 수트 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],"봄, 여름",1,1,0,0,0,500000,315000,37,0,0,0,0.0,20110219,False,192,0,0,5,"78 (30):0, 82 (32):3, 86 (34):1, 90 (36):0, 94 (38):1",19,"진한 그레이:4, 진한 네이비:5, 진한 청록:1, 진한 브라운:9",남성의류,팬츠,슬랙스
JNPA4D001B2,[클리어런스]블루 레귤러핏 데님팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],"가을, 겨울",0,0,1,1,0,290000,117450,59,0,0,22,4.9,20110284,False,140,0,0,4,"78R (30R):1, 82R (32R):2, 86R (34R):0, 90R (36R):0, 94R (38R):1",11,"블루:4, 진한 그레이:7",남성의류,데님팬츠,롱
JNSW6B402CG,코튼 강연 크루넥 니트 - 차콜그레이,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],"여름, 가을",0,1,1,0,0,290000,261000,10,0,0,0,0.0,121346,False,55,0,0,19,"S (95):2, M (100):3, L (105):10, XL (110):4",56,"차콜 그레이:19, 밝은 그레이:22, 진한 네이비:15",남성의류,니트/스웨터,
JNSW6B402G1,코튼 강연 크루넥 니트 - 라이트그레이,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],"여름, 가을",0,1,1,0,0,290000,261000,10,0,0,0,0.0,121346,False,55,0,0,22,"S (95):1, M (100):5, L (105):15, XL (110):1",56,"차콜 그레이:19, 밝은 그레이:22, 진한 네이비:15",남성의류,니트/스웨터,
JNTS6A801E1,[NEW YORK SWEAT] UrbanShell 트랙집업 - 라이트그린,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,320000,288000,10,0,0,0,0.0,121281,False,24,0,0,40,"S (95):7, M (100):14, L (105):13, XL (110):6",92,"블랙:26, 밝은 초록:40, 진한 네이비:26",남성의류,티셔츠,긴팔티셔츠
JNPA5C123W3,[LOUNGE-FIT] 코듀로이 저지 셋업 팬츠 - 다크브라운,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],"가을, 겨울",0,0,1,1,0,320000,191520,40,0,0,7,5.0,110219,False,210,0,0,10,"78 (30):1, 82 (32):0, 86 (34):2, 90 (36):3, 94 (38):4",20,"진한 그레이:10, 진한 브라운:10",남성의류,팬츠,롱팬츠
JNPA5D004BK,[SEMIWIDE-FIT] 벨루어 데님 셋업 팬츠 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],"가을, 겨울",0,0,1,1,0,350000,220500,37,0,0,1,5.0,20110284,False,68,0,0,7,"78R (30R):0, 82R (32R):2, 86R (34R):1, 90R (36R):4",7,블랙:7,남성의류,데님팬츠,롱
