product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
DMPA5BC21E1,라이트그린 써머 코튼 치노 팬츠,닥스 남성,DM,1001,2,[25SS],여름,0,1,0,0,0,270000,170100,37,0,0,8,4.9,762,0,2,29,"79 (31):3, 82 (32):1, 85 (33):3, 88 (34):7, 91 (36):5, 94 (37):5, 97 (39):1, 100 (40):4",146,"밝은 블루:40, 밝은 초록:29, 밝은 베이지:33, 베이지:44",남성의류,팬츠,롱팬츠
DMJA5C302G3,[SET-UP] 다크그레이 캐주얼 자켓,닥스 남성,DM,1001,2,[25FW],가을,0,0,1,0,0,429000,270270,37,0,0,10,4.8,197,0,38,15,"46R (95):0, 48R (100R):0, 50R (105R):12, 52R (110R):1, 54R (115R):2",34,"진한 그레이:15, 진한 베이지:19",남성의류,자켓,숏/하프자켓
WMPA4B054G2,[반값세일][스테디셀러]그레이 멜란지 밴딩팬츠,닥스 남성,WM,1001,2,[24SS],여름,0,1,0,0,0,270000,133650,50,0,0,4,4.5,405,0,3,22,"31(79cm):4, 32(82cm):0, 33(85cm):3, 34(88cm):3, 36(91cm):2, 37(94cm):4, 39(97cm):3, 40(100cm):3",22,그레이:22,남성의류,팬츠,롱팬츠
DMJA6B041N2,[TAKAOKA] 네이비 트리아세테이트 쉐도우 체크 자켓,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,790000,711000,10,0,0,0,0.0,73,0,3,25,"46S (95S):1, 48R (100R):2, 48S (100S):4, 50R (105R):5, 50S (105S):4, 52L (110L):1, 52R (110R):4, 54L (115L):1, 54R (115R):1, 56L (120L):2",25,네이비:25,남성의류,자켓,숏/하프자켓
DMPA5BC51N3,나일론코튼 다크네이비 써머 기능성 팬츠,닥스 남성,DM,1001,2,[25SS],여름,0,1,0,0,0,280000,176400,37,0,0,41,4.9,1,0,1,60,"76 (30):3, 79 (31):9, 82 (32):12, 85 (33):7, 88 (34):7, 91 (36):14, 94 (37):3, 97 (39):3, 100 (40):2",101,"그레이:35, 베이지:6, 진한 네이비:60",남성의류,팬츠,롱팬츠
DMPA4AC21CM,[반값세일]코튼라이크 치노 팬츠,닥스 남성,DM,1001,2,[24SS],봄,1,0,0,0,0,290000,143550,50,0,0,35,4.8,236,0,3,39,"76 (30):1, 79 (31):3, 82 (32):2, 85 (33):2, 88 (34):13, 91 (36):11, 94 (37):4, 97 (39):3, 100 (40):0",77,"캐멀:39, 그레이:9, 진한 네이비:29",남성의류,팬츠,롱팬츠
DMPA5C044T3,터키쉬블루 데님 팬츠,닥스 남성,DM,1001,2,[25FW],가을,0,0,1,0,0,350000,220500,37,0,0,6,5.0,271,0,17,20,"79 (31):4, 82 (32):2, 85 (33):5, 88 (34):5, 91 (36):2, 94 (37):1, 97 (39):1, 100 (40):0",20,진한 청록:20,남성의류,데님팬츠,롱
WMTS4DU03N2,[클리어런스][스테디셀러] 네이비 로고자수 반집업티셔츠,닥스 남성,WM,1001,2,[24FW],겨울,0,0,0,1,0,220000,89100,59,0,0,83,4.8,1,0,25,2,"095:0, 100:0, 105:0, 110:0, 115:2",47,"진한 베이지:2, 아이보리:12, 카키:31, 네이비:2",남성의류,티셔츠,긴팔티셔츠
DMTS6B011G1,라이트그레이 멜란지 투톤 티셔츠,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,190000,171000,10,0,0,0,0.0,275,0,4,128,"95:16, 100:62, 105:43, 110:6, 115:1",464,"밝은 블루:155, 밝은 그레이:128, 진한 네이비:181",남성의류,티셔츠,반팔티셔츠
WMTS4D001N2,[클리어런스][스테디셀러] 네이비 체크 긴팔카라티셔츠,닥스 남성,WM,1001,2,[24FW],겨울,0,0,0,1,0,240000,97200,59,0,0,8,4.8,426,0,28,28,"095:27, 100:0, 105:0, 110:0, 115:1",28,네이비:28,남성의류,티셔츠,긴팔티셔츠
