color_code,product_code,product_name,brand_name,source_file
I2,DMPA6B021I2,베이지 코튼 치노 팬츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH4CC03I2,[클리어런스]코튼혼방 마이크로패턴 베이직 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH4DC02I2,[클리어런스][RIOPELE]기모 하우스체크 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH4DN11I2,[클리어런스][RIOPELE]기모 헤링본 솔리드 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH5AC03I2,[GIFT] 컴팩트 코튼100% 베이지 하우스체크 긴팔 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH5AN03I2,[LOMELLINA] 베이지 저지 솔리드 긴팔 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH5BC23I2,[COOL BLEND] 울 혼방 베이지 하우스체크 워셔블 반팔 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH5BN01I2,코튼 혼방 베이지 저지 솔리드 반팔 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH5D001I2,베이지 기모 솔리드 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH5D012I2,베이지 기모 빅체크 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH6A001I2,베이지 하우스체크 코튼 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSH6A104I2,[MTVV] 베이지 코튼 레귤러핏 스트라이프 셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW4DT33I2,[클리어런스]울알파카 홈스펀 케이블 하프집업 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5A302I2,베이지 스트라이프 카라넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5AC41I2,[CHECK] 코튼100% 베이지 체크 집업 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5AN71I2,베이지 라인배색 면 가디건,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5BC04I2,베이지 체크 면혼방 반팔니트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5BN03I2,코튼 혼방 베이지 컬러 믹스 카라넥 반팔 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5BN09I2,베이지 스트라이프 면 반팔카라니트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5BN71I2,베이지 라인배색 면 반팔카라니트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5BT04I2,린넨터치 베이지 컬러믹스 긴팔 가디건,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5C001I2,베이지 플레인 카라넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D035I2,베이지 울 100% 트위드 터틀넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D036I2,베이지 울 100% 트위드 숄카라 가디건,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D071I2,베이지 캐시미어 100% 하찌조직 터틀넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D075I2,베이지 캐시미어 100% 플레인 티넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D303I2,베이지 크루넥 케이블 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D304I2,베이지 울100% 풀집업 케이블 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW5D501I2,[워셔블] 베이지 메리노 울100% 카라넥 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW6A061I2,베이지 하우스체크 풀집업 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW6B002I2,베이지 페이퍼 트위드 썸머 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW6B005I2,베이지 코튼 강연 DD로고 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW6B051I2,베이지 하우스체크 반팔 라운드 니트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMSW6B501I2,[EXCLUSIVE] 베이지 닥스훈트 미니 케이블 반팔 스웨터,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR3D042I2,[클리어런스][Imported Fabric] 스웨이드 다운 베이지 트렌치코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR4AT30I2,[반값세일][TRENCH COLLECTION] 베이지 단색 트렌치코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR4DT03I2,[클리어런스][BESTE] 코튼 트렌치 코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR5AT03I2,베이지 리버시블 베이직 트렌치코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR5AT04I2,베이지 단색 면혼방 하프코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR5D002I2,베이지 라이너 탈착 베이직 트렌치 코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR6A033I2,베이지 하우스체크 안감 세미 오버핏 트렌치코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTR6A051I2,베이지 울혼방 싱글 트렌치코트,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS4CC01I2,[클리어런스][GIFT]빅체크 프린트 카라티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS4DC02I2,[클리어런스][GIFT]하우스체크 자카드 카라티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5A302I2,[D-CHECK] 베이지 빅체크 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5B303I2,[워셔블] 베이지 기능성 체크 반팔 카라티,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5BC03I2,[GIFT] 베이지 체크 프린트 반팔 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5BC21I2,[GIFT] 코튼 혼방 베이지 면블럭 반팔 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5BT01I2,코튼100% 베이지 니트 라이크 반팔 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5D001I2,[D-CHECK] 베이지 하우스체크 자카드 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS5D031I2,베이지 마이크로패턴 겨울 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6A001I2,[GIFT] 베이지 빅체크 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6A002I2,[GIFT] 베이지 하우스체크 니트카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6A012I2,베이지 마이크로 패턴 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6A301I2,[EXCLUSIVE] 베이지 빅체크 카라 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6B001I2,베이지 DAKS 시그니쳐 체크 반팔 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6B002I2,[GIFT] 베이지 하우스체크 니트카라 반팔 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6B008I2,베이지 마이크로 텍스쳐 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6B009I2,베이지 쿨 조직감 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,DMTS6B307I2,[EXCLUSIVE] 베이지 링클프리 조직감 반팔 티셔츠,닥스 남성,daks_men_products_enriched_all.csv
I2,HZCO4D460I2,[클리어런스]패딩 벨티드 발마칸 코트,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZCO5A101I2,[3/4 SYSTEM] 베이지 디테쳐블 헌팅 코트,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZCO5D502I2,[로드코트] 베이지 하프코트,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZCO5D504I2,[로얄캐시] 베이지 발마칸코트,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZCO5D702I2,[COLLECTION] 베이지 코튼 리버서블 맥코트,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZCO6A101I2,베이지 디테쳐블 라이닝 헌팅 코트,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZGV4F104I2,[반값세일]베이지 케이블 핑거리스 니트 장갑,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZGV5F105I2,베이지 노르딕 패턴 장갑,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZHE5F900I2,베이지 케이블 비니,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA4D471I2,[클리어런스][TECH DOWN] 베이지 화섬 다운 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA5B330I2,베이지 코튼혼방 여름 셋업자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA5B401I2,[TRAVELER] 베이지 폴리 나일론 셋업 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA5C235I2,[간절기] 베이지 셋업 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA5C236I2,베이지 마이크로패턴 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA5D402I2,[CORDUROY] 베이지 폴리 코듀로이 셋업 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA5D465I2,베이지 멜란지 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJA6B701I2,베이지 울라이크 셋업 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU4D502I2,[클리어런스]베이지 코듀로이 구스다운 패딩 점퍼,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU4D505I2,[클리어런스]베이지 구스다운 유틸리티 헤비 파카,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5A201I2,[클래식] 베이지 헤링턴 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5B505I2,[클래식] 베이지 경량 헤링턴 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5B514I2,[Ultralight] 베이지 썸머 초경량 트러커,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5B881I2,[더가이즈 콜라보] 베이지 멀티포켓 헤링턴 점퍼,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5C301I2,베이지 포켓 워크 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5D001I2,베이지 리버시블 구스다운 패딩점퍼,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5D305I2,[클래식] 베이지 라이트웨이트 에버딘 헌팅 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
I2,HZJU5D325I2,[클래식] 베이지 몰스킨 헤지로우 워크 자켓,헤지스 남성,hazzys_men_products_enriched_all.csv
