product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3,display_category_id,soldout,source_file,category_code,color_code
JNSH5B501I1,[XACUS] 베이지 스트레치 드레스 셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],"봄, 여름",1,1,0,0,0,390000,245700,37,0,0,2,5.0,243,0,0,0,,0,,,,,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,SH,I1
JNJA4D606N3,[클리어런스][COLOMBO] 다크네이비 시그니처 실크 캐시미어 자켓,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,1790000,694950,61,0,0,0,0.0,35,0,0,14,"46 (90):5, 48 (95):1, 50 (100):3, 52 (105):5",20,"진한 네이비:14, 세피아:6",남성의류,자켓,숏/하프자켓,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JA,N3
WYPA4D501BK,[클리어런스][스테디셀러] 블랙 단색 울 팬츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],겨울,0,0,0,1,0,400000,150660,62,0,0,5,4.8,413,0,0,28,"30(78cm):6, 32(82cm):11, 34(86cm):4, 36(90cm):3, 38(94cm):4",69,"블랙:28, 진한 그레이:40, 진한 네이비:1",남성의류,팬츠,롱팬츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
JNPA4D111BK,[클리어런스]블랙 컴포트 윈터 슬랙스,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,350000,131830,62,0,0,10,4.7,131,0,0,0,,0,,,,,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
JNJU5B306G3,다크그레이 트윌 썸머 트러커,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,590000,353110,40,0,0,0,0.0,21,0,0,6,"S (95):1, M (100):2, L (105):1, XL (110):2",6,진한 그레이:6,남성의류,점퍼,캐쥬얼점퍼,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,G3
JNPA5C184BK,[THE TWILL] [G.B.Conte] [SEMIWIDE-FIT]  원턱 셋업 팬츠 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],"가을, 겨울",0,0,1,1,0,390000,233410,40,0,0,0,0.0,109,0,0,6,"78 (30):0, 82 (32):0, 86 (34):4, 90 (36):2, 94 (38):0",6,블랙:6,남성의류,팬츠,슬랙스,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
0JTS5B203WT,[SET] [GENTLE JERSEY] 반팔 레귤러핏 티셔츠 화이트/블랙,질스튜어트 뉴욕 세트,0J,1017,2,[25SS],,0,0,0,0,0,280000,176400,37,0,0,5,5.0,706,0,0,0,,23,블랙:23,남성의류,티셔츠,반팔티셔츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,TS,WT
0JTS5B202K2,[SET] [GENTLE JERSEY] 반팔 레귤러핏 티셔츠 블랙/카키,질스튜어트 뉴욕 세트,0J,1017,2,[25SS],여름,0,1,0,0,0,280000,176400,37,0,0,4,4.8,346,0,0,0,,23,블랙:23,남성의류,티셔츠,반팔티셔츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,TS,K2
JNJU5D802BK,[MAJOCCHI] [BEST 리오더] 숏 구스다운 점퍼 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,990000,623700,37,0,0,6,5.0,58,0,0,31,"M (100):10, L (105):6, XL (110):15",31,블랙:31,남성의류,점퍼,다운점퍼,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,BK
JNPA6B201WT,[ORDINARY-FIT] 서머 치노 팬츠 - 오프화이트,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,350000,315000,10,0,0,0,0.0,75,0,0,15,"78 (30):2, 82 (32):4, 86 (34):1, 90 (36):4, 94 (38):4",65,"블랙:21, 그레이:17, 아이보리:12, 흰색:15",남성의류,팬츠,롱팬츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,WT
