product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
TNPA5F104W2,Virgin-wool Herringbone Wide fit Pants (Vintage Brown),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,109000,68670,37,0,0,19,4.8,611,0,148,11,"078 (30):0, 082 (32):0, 086 (34):0, 090 (36):11",11,브라운:11,남성의류,팬츠,슬랙스
TNSH5E204B2,Vintage Denim Over Shirt (Washed Blue),티엔지티,B000,1004,2,,여름,0,1,0,0,0,99000,62370,37,0,0,7,4.6,211,0,11,90,"95:16, 100:40, 105:28, 110:6",90,블루:90,남성의류,셔츠,반팔캐쥬얼셔츠
TNJA5E101BK,Comfort Cotton Set-Up Jacket (Black),티엔지티,B000,1004,2,[25SS],봄,1,0,0,0,0,159000,100170,37,0,0,10,4.8,398,0,38,397,"95:94, 100:142, 105:102, 110:59",669,"블랙:397, 세피아:272",남성의류,자켓,숏/하프자켓
TNJA5F106BK,Denim-like Jacket (Black Indigo),티엔지티,B000,1004,2,,가을,0,0,1,0,0,179000,112770,37,0,0,2,5.0,174,0,14,106,"95:32, 100:43, 105:29, 110:2",106,블랙:106,남성의류,자켓,숏/하프자켓
0TJA5E101BK,[SET] 블랙 테일러드 캐주얼 코튼 셋업,티엔지티 세트,0T,1004,2,[25SS],,0,0,0,0,0,238000,149940,37,0,0,80,4.8,1,0,36,0,,397,블랙:397,남성의류,자켓,숏/하프자켓
TNSH6E201BK,Kinoshita Seersucker Open Collar Shirt (Black),키노시타 바이 티엔지티,B01M,1004,1,[26SS],"봄, 여름",1,1,0,0,0,69000,65550,5,0,0,0,0.0,0,0,6,293,"090:0, 095:44, 100:98, 105:100, 110:51",489,"블랙:293, 베이지:196",남성의류,셔츠,반팔캐쥬얼셔츠
TNTS5F104WT,Ribbed Sleeveless (White),티엔지티,B000,1004,2,[25FW],사계절,1,1,1,1,1,38000,23940,37,0,0,19,4.9,346,0,25,2,"95:0, 100:0, 105:0, 110:2",41,"그레이:39, 흰색:2",남성의류,티셔츠,민소매티셔츠
TNSW5F105BK,Cashmere Blended Round-neck Sweater (Black),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,109000,68670,37,0,0,170,4.9,2,0,136,49,"95:37, 100:12, 105:0, 110:0",253,"블루:89, 블랙:49, 차콜 그레이:5, 캐멀:72, 아이보리:36, 브라운:2",남성의류,니트/스웨터,
TNJA6E206G2,Kinoshita Seersucker Collarless Jacket (Grey),키노시타 바이 티엔지티,B01M,1004,1,[26SS],여름,0,1,0,0,0,149000,141550,5,0,0,15,4.8,0,0,3,197,"095:35, 100:74, 105:59, 110:29",493,"블랙:296, 그레이:197",남성의류,자켓,숏/하프자켓
TNJA5E203BK,Seersucker Collarless Jacket (Black),티엔지티,B000,1004,2,,여름,0,1,0,0,0,149000,93870,37,0,0,48,4.9,1,14,15,16,"95:0, 100:0, 105:0, 110:16",35,"블랙:16, 그레이:19",남성의류,자켓,숏/하프자켓
TNTS6E203W2,Takisada Japanese Cotton Tee (Brown),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,79000,75050,5,0,0,0,0.0,0,0,2,202,"95:36, 100:75, 105:60, 110:31",895,"블랙:207, 그레이:197, 카키:90, 브라운:202, 흰색:199",남성의류,티셔츠,반팔티셔츠
TNSH5E201B2,Denim Half Shirt (Light Blue),티엔지티,B000,1004,2,,"봄, 여름",1,1,0,0,0,75000,47250,37,0,0,27,4.7,1,0,5,83,"95:14, 100:15, 105:33, 110:21",276,"블루:83, 진한 블루:181, 그레이:12",남성의류,셔츠,반팔캐쥬얼셔츠
TNPA5E001BK,Essential Tapered Fit Slacks (Black),티엔지티,B000,1004,2,,봄,1,0,0,0,0,69000,43470,37,0,0,127,4.8,1,0,70,3,"29S (29):0, 30L (30):2, 30S (30):0, 32L (32):1, 32S (32):0, 34L (34):0, 34S (34):0, 36L (36):0, 36S (36):0, 38L (38):0",109,"블랙:3, 그레이:77, 진한 베이지:29",남성의류,팬츠,슬랙스
TNSW5F111G2,Ribbed Oversized Polo Knit (Grey),티엔지티,B000,1004,2,[25FW],"가을, 겨울",0,0,1,1,0,119000,74970,37,0,0,14,4.9,252,0,46,137,"95:46, 100:45, 105:32, 110:14",249,"와인:112, 그레이:137",남성의류,니트/스웨터,
TNJA5F100CG,Wool Blended Comfort Jacket (Dark Grey),티엔지티,B000,1004,2,,"가을, 겨울",0,0,1,1,0,159000,100170,37,0,0,8,4.5,2,0,14,11,"95:0, 100:0, 105:5, 110:6",179,"블랙:15, 차콜 그레이:11, 네이비:153",남성의류,자켓,숏/하프자켓
TNSW5F116G2,Rugby Oversized Polo Knit (Grey),티엔지티,B000,1004,2,[25FW],"가을, 겨울",0,0,1,1,0,119000,74970,37,0,0,143,4.8,1,0,254,12,"95:12, 100:0, 105:0, 110:0",258,"그레이:12, 브라운:246",남성의류,니트/스웨터,
TNSH5F103BK,Micro-check Oversized Shirt (Black),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,89000,56070,37,0,0,6,5.0,119,0,31,221,"95:42, 100:92, 105:66, 110:21",221,블랙:221,남성의류,셔츠,긴팔캐쥬얼셔츠
TNTS6E203G2,Takisada Japanese Cotton Tee (Grey),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,79000,75050,5,0,0,0,0.0,0,0,2,197,"95:35, 100:72, 105:60, 110:30",895,"블랙:207, 그레이:197, 카키:90, 브라운:202, 흰색:199",남성의류,티셔츠,반팔티셔츠
TNTS6E200G2,Kinoshita Seersucker Tee (Grey),키노시타 바이 티엔지티,B01M,1004,1,[26SS],"봄, 여름",1,1,0,0,0,69000,65550,5,0,0,0,0.0,0,13,3,198,"095:34, 100:70, 105:59, 110:35",692,"블랙:293, 그레이:198, 베이지:201",남성의류,티셔츠,반팔티셔츠
TNTS5E211BK,Americanflag T-Shirt (Black),티엔지티,B000,1004,2,,"봄, 여름",1,1,0,0,0,59000,37170,37,0,0,45,4.8,551,0,7,87,"95:22, 100:30, 105:26, 110:9",201,"블랙:87, 차콜 그레이:114",남성의류,티셔츠,반팔티셔츠
TNSW5E102I2,Cable Long Sleeves Knit Top (Tan Beige),티엔지티,B000,1004,2,[25SS],봄,1,0,0,0,0,109000,68670,37,0,0,67,4.7,584,0,49,47,"95:29, 100:5, 105:12, 110:1",95,"그레이:26, 베이지:47, 네이비:22",남성의류,니트/스웨터,
TNTR5F100I2,Balmacaan Oversized Trench Coat (Beige),티엔지티,B000,1004,1,[25FW],"가을, 겨울",0,0,1,1,0,219000,157680,28,0,0,7,4.6,130,0,61,173,"95:60, 100:75, 105:34, 110:4",173,베이지:173,남성의류,코트,트렌치코트
TNPA5E110N2,Wool Blend Comfort Set-Up Pants (Dark Navy),티엔지티,B000,1004,2,,봄,1,0,0,0,0,79000,49770,37,0,0,23,4.9,586,0,30,17,"078 (30):17, 082 (32):0, 086 (34):0, 090 (36):0",29,"차콜 그레이:12, 네이비:17",남성의류,팬츠,슬랙스
TNSW5E203N2,Stripe Cable Knit Top (Navy),티엔지티,B000,1004,2,[25SS],"봄, 여름",1,1,0,0,0,79000,49770,37,0,0,9,4.9,172,0,1,148,"95:18, 100:65, 105:46, 110:19",272,"아이보리:124, 네이비:148",남성의류,니트/스웨터,
TNTS5E217K2,Stripe Henley Neck T-shirt (Khaki),티엔지티,B000,1004,2,,여름,0,1,0,0,0,69000,43470,37,0,0,7,4.7,170,0,10,138,"95:26, 100:53, 105:45, 110:14",297,"카키:138, 네이비:159",남성의류,티셔츠,반팔티셔츠
TNPA5F100BK,Wool Blended Tapered-fit Comfort Pants (Black),티엔지티,B000,1004,2,[25FW],"가을, 겨울",0,0,1,1,0,69000,43470,37,0,0,28,4.9,2,0,48,1,"078 (30):0, 082 (32):1, 086 (34):0, 090 (36):0",261,"블랙:1, 차콜 그레이:20, 네이비:240",남성의류,팬츠,슬랙스
TNJA5F105I2,Redford Wool Blended Herringbone Jacket (Beige),티엔지티,B000,1004,2,,가을,0,0,1,0,0,209000,131670,37,0,0,261,4.8,6,0,230,1,"95:1, 100:0, 105:0, 110:0",1,"그레이:0, 베이지:1, 브라운:0",남성의류,자켓,숏/하프자켓
TNSW5E204E2,Essential Cable Knit Top (Green),티엔지티,B000,1004,2,[25SS],"봄, 여름",1,1,0,0,0,79000,49770,37,0,0,33,4.8,543,0,7,140,"95:16, 100:48, 105:48, 110:28",646,"초록:140, 베이지:224, 네이비:282",남성의류,니트/스웨터,
TNTS5E101G2,Boxing Sweatshirt (Melange Gray),티엔지티,B000,1004,2,,봄,1,0,0,0,0,79000,49770,37,0,0,19,4.9,96,0,27,26,"95:20, 100:6, 105:0, 110:0",66,"블랙:40, 그레이:26",남성의류,티셔츠,긴팔티셔츠
0TJA5E100G2,[SET] 다크그레이 오버핏+테이퍼드 싱글 자켓 슬랙스 셋업,티엔지티 세트,0T,1004,2,,,0,0,0,0,0,228000,143640,37,0,0,30,4.7,919,0,25,0,,15,그레이:15,남성의류,수트/셋업,캐주얼 셋업
TNTS5E202WT,Stripe Pocket T-Shirt (White),티엔지티,B000,1004,2,,"봄, 여름",1,1,0,0,0,59000,37170,37,0,0,30,4.8,474,0,6,33,"95:11, 100:16, 105:2, 110:4",33,흰색:33,남성의류,티셔츠,반팔티셔츠
TNSW5F112N2,Stripe Oversized Polo Knit (Navy),티엔지티,B000,1004,2,[25FW],"가을, 겨울",0,0,1,1,0,119000,74970,37,0,0,36,4.8,776,0,112,61,"95:27, 100:24, 105:10, 110:0",236,"네이비:61, 브라운:175",남성의류,니트/스웨터,
TNJA5F104CR,Corduroy Jacket (Cream),티엔지티,B000,1004,2,,"가을, 겨울",0,0,1,1,0,189000,119070,37,0,0,20,4.8,718,0,18,172,"95:25, 100:69, 105:50, 110:28",630,"크림:172, 브라운:458",남성의류,자켓,숏/하프자켓
TNPA5E110CG,Wool Blend Comfort Set-Up Pants (Charcoal Gray),티엔지티,B000,1004,2,,봄,1,0,0,0,0,79000,49770,37,0,0,23,4.9,586,0,48,12,"078 (30):12, 082 (32):0, 086 (34):0, 090 (36):0",29,"차콜 그레이:12, 네이비:17",남성의류,팬츠,슬랙스
