product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail
ARTR4C002I3,[클리어런스]카키쉬 베이지《Modern Twill》피크드 라펠 더블 트렌치,알레그리,A001,1897,2,[24FW],1100000,415500,62,0,0,6,5.0,52,0,56,3,"48 (95):1, 50 (100):2, 52 (105):0, 54 (110):0",3,"블랙:0, 진한 베이지:3"
ARTS5D302I4,페일 베이지《WarmTech》터틀넥,알레그리,A001,1897,2,[25FW],199000,125370,37,0,0,26,4.7,755,0,12,20,"95:5, 100:3, 105:10, 110:2",140,"탁한 블루:7, 블랙:14, 그레이:10, 진한 그레이:47, 베이지:30, 연베이지:20, 아이보리:8, 진한 브라운:4"
WXSW4F003BK,[클리어런스][스테디셀러]블랙《Merino Silky》카라넥 스웨터,알레그리 남성,WX,1897,2,[24FW],390000,140470,63,0,0,31,4.8,223,0,11,2,"00S:2, 00M:0, 00L:0, 0XL:0",6,"블랙:2, 차콜 그레이:2, 밝은 그레이:0, 진한 청록:2"
WXTS5A101CR,[스테디셀러] 크림《LuxCool》롱슬리브 라운드 티셔츠,알레그리 남성,WX,1897,2,[25SS],190000,119700,37,0,0,6,5.0,108,0,16,2,"00S:2, 00M:0, 00L:0, 0XL:0",18,"블랙:5, 차콜 그레이:11, 크림:2"
ARPA6A104G2,그레이《SilkRay Sweat》컴포트 스웨터 팬츠,알레그리,A001,1897,1,[26SS],450000,405000,10,0,0,2,5.0,155,0,19,1,"78 (30):0, 82 (32):1, 86 (34):0, 90 (36):0",2,"블랙:1, 그레이:1"
ARSH6A222B5,터콰이즈블루《Emboss Velvet》셔켓,알레그리,A001,1897,1,[26SS],690000,621000,10,0,0,3,4.7,80,0,57,14,"S (95):3, M (100):3, L (105):4, XL (110):4",14,탁한 블루:14
ARJU5D403BK,블랙《X-Lite》[Siberian Goose] 후디 탈부착 숏 푸퍼,알레그리,A001,1897,2,[25FW],1350000,850500,37,0,0,11,4.8,255,0,255,6,"48 (95):1, 50 (100):0, 52 (105):3, 54 (110):2",12,"블랙:6, 차콜 그레이:6"
ARSW6A107D3,다크와인 《Soft Waffle》 카라넥 스웨터,알레그리,A001,1897,1,[26SS],390000,351000,10,0,0,5,5.0,105,0,3,2,"S (95):0, M (100):2, L (105):0, XL (110):0",17,"탁한 블루:3, 크림:6, 진한 와인:2, 진한 청록:6"
ARJA6A145N3,COLOMBO 다크네이비《TECH TAILORING》마이크로 패턴 수트 자켓,알레그리,A001,1897,1,[26SS],1290000,1161000,10,0,0,0,0.0,17,0,1,7,"48 (95):2, 50 (100):2, 52 (105):2, 54 (110):0, 056 (115):1",7,진한 네이비:7
ARTS6A104I3,다크베이지《WoolRib Jersey》롱 슬리브 티셔츠,알레그리,A001,1897,1,[26SS],230000,207000,10,0,0,1,5.0,82,0,16,7,"95:1, 100:1, 105:3, 110:2",14,"블랙:5, 크림:2, 진한 베이지:7"
ARJA5C201BK,블랙《Wool Twill》셋업 자켓,알레그리,A001,1897,2,[25FW],890000,560700,37,0,0,3,5.0,53,0,15,7,"46 (90):3, 48 (95):1, 50 (100):0, 52 (105):3, 54 (110):0",7,블랙:7
ARJU5D403CG,챠콜《X-Lite》[Siberian Goose] 후디 탈부착 숏 푸퍼,알레그리,A001,1897,2,[25FW],1350000,850500,37,0,0,11,4.8,255,0,153,6,"48 (95):1, 50 (100):3, 52 (105):1, 54 (110):1",12,"블랙:6, 차콜 그레이:6"
ARSW5D314CG,챠콜그레이《Frame V》Low Gauge 스웻 맨투맨,알레그리,A001,1897,2,[25FW],370000,233100,37,0,0,6,4.8,69,0,42,15,"S (95):2, M (100):7, L (105):6, XL (110):0",21,"차콜 그레이:15, 진한 브라운:6"
ARTS5C203W3,다크브라운《LuxWarm》후디 맨투맨,알레그리,A001,1897,1,[25FW],329000,264410,19,0,0,22,5.0,218,0,30,4,"95:2, 100:2, 105:0, 110:0",16,"블랙:8, 브라운:4, 진한 브라운:4"
ARSW6A302N3,다크네이비《SilkBreeze》크루넥 스웨터,알레그리,A001,1897,1,[26SS],350000,315000,10,0,0,0,0.0,39,0,5,5,"S (95):3, M (100):2, L (105):0, XL (110):0",12,"밝은 그레이:7, 진한 네이비:5"
ARSW4D405B5,[클리어런스]그레이쉬 블루《Merino Silky》풀터플 스웨터,알레그리,A001,1897,2,[24FW],390000,140470,63,0,0,5,5.0,137,0,19,3,"S (95):0, M (100):0, L (105):0, XL (110):3",4,"탁한 블루:3, 블랙:0, 밝은 그레이:0, 밝은 브라운:1"
ARPA6A104BK,블랙《SilkRay Sweat》컴포트 스웨터 팬츠,알레그리,A001,1897,1,[26SS],450000,405000,10,0,0,2,5.0,155,0,14,1,"78 (30):1, 82 (32):0, 86 (34):0, 90 (36):0",2,"블랙:1, 그레이:1"
ARJA4C261N3,네이비《Two Tone Boucle》레귤러 핏 자켓,알레그리,A001,1897,2,[24FW],790000,294350,62,0,0,2,4.5,66,18,12,1,"46 (90):1, 48 (95):0, 50 (100):0, 52 (105):0, 54 (110):0",6,"블루:5, 진한 네이비:1"
ARPA6A851I1,라이트베이지 [Straight Fit] 데님,알레그리,A001,1897,1,[26SS],440000,396000,10,0,0,0,0.0,72,0,6,13,"78 (30):2, 82 (32):3, 86 (34):2, 90 (36):3, 94 (38):3",20,"밝은 블루:6, 그레이:1, 밝은 베이지:13"
ARTS5B301G1,라이트 그레이《LuxCool》세미오버 라운드 티셔츠,알레그리,A001,1897,2,[25SS],180000,113400,37,0,0,339,4.9,1,0,9,6,"90:1, 95:1, 100:2, 105:1, 110:1",181,"밝은 블루:16, 연블루:35, 블랙:3, 진한 초록:11, 밝은 그레이:6, 아이보리:20, MULTI COLOR:18, 네이비:7, 진한 네이비:6, 밝은 핑크:20, 청록:12, 브라운:26, 흰색:1"
ARJU5D312BK,블랙《X-Lite》2-WAY 경량 립스탑 다운 점퍼,알레그리,A001,1897,2,[25FW],1090000,686700,37,0,0,5,4.8,147,0,104,49,"48 (95):12, 50 (100):17, 52 (105):14, 54 (110):6",78,"블랙:49, 진한 그레이:29"
ARCO5D406BK,블랙《Cashmere Rich 40》핸드메이드 더블코트,알레그리,A001,1897,2,[25FW],1390000,875700,37,0,0,2,5.0,125,0,92,25,"48 (95):11, 50 (100):7, 52 (105):6, 54 (110):1",45,"블랙:25, 진한 청록:20"
ARTS5D302G3,다크 그레이《WarmTech》터틀넥,알레그리,A001,1897,2,[25FW],199000,125370,37,0,0,26,4.7,755,0,12,47,"95:14, 100:24, 105:8, 110:1",140,"탁한 블루:7, 블랙:14, 그레이:10, 진한 그레이:47, 베이지:30, 연베이지:20, 아이보리:8, 진한 브라운:4"
ARJU6A202BK,블랙《Tech Twiil》Marzotto 트러커 점퍼,알레그리,A001,1897,1,[26SS],950000,855000,10,0,0,0,0.0,55,0,18,2,"48 (95):1, 50 (100):1, 52 (105):0, 54 (110):0",4,"블랙:2, 진한 네이비:2"
ARPA5A951G2,그레이《Twill Soft-Dyed》치노 팬츠,알레그리,A001,1897,2,[25SS],340000,198900,41,0,0,4,3.3,122,0,14,15,"78 (30):2, 82 (32):0, 86 (34):1, 90 (36):5, 94 (38):3, 098:4",36,"블랙:14, 그레이:15, 밝은 베이지:7"
WXJU4F005K1,[클리어런스][스테디셀러] 카키《Royal Two Tone》 구스다운 점퍼,알레그리 남성,WX,1897,2,[24FW],1300000,496500,61,0,0,4,4.8,77,0,43,5,"048:0, 050:4, 052:1, 054:0",5,밝은 카키:5
ARJU5B402BK,블랙《Crease Sucker》하이넥 블루종 점퍼,알레그리,A001,1897,2,[25SS],690000,434700,37,0,0,3,5.0,140,10,27,3,"48 (95):0, 50 (100):2, 52 (105):0, 54 (110):1",15,"블랙:3, 밝은 베이지:12"
ARJU4C106T3,[클리어런스]터콰이즈《Tech WoolTwll》레귤러 핏 칼라 점퍼,알레그리,A001,1897,2,[24FW],890000,331610,62,0,0,8,5.0,133,0,40,1,"48 (95):1, 50 (100):0, 52 (105):0, 54 (110):0",2,"블랙:1, 진한 청록:1"
ARSW6A103CR,크림《SilkRay Sweat》맨투맨 스웨터,알레그리,A001,1897,1,[26SS],390000,351000,10,0,0,3,5.0,145,10,15,1,"S (95):0, M (100):0, L (105):1, XL (110):0",8,"블랙:3, 크림:1, 그레이:4"
ARTS5C202G2,그레이《LuxWarm》맨투맨,알레그리,A001,1897,1,[25FW],290000,233070,19,0,0,30,5.0,458,0,50,3,"95:3, 100:0, 105:0, 110:0",27,"밝은 블루:12, 블랙:2, 차콜 그레이:3, 그레이:3, 진한 네이비:7"
ARSW4D405W1,[클리어런스]라이트 브라운《Merino Silky》풀터틀 스웨터,알레그리,A001,1897,2,[24FW],390000,145310,62,0,0,5,5.0,137,0,16,1,"S (95):0, M (100):0, L (105):0, XL (110):1",4,"탁한 블루:3, 블랙:0, 밝은 그레이:0, 밝은 브라운:1"
ARJU5B683BK,[Allegri x Boglioli] 블랙《Wool Blended》카라 점퍼 셋업,알레그리,A001,1897,2,[25SS],1090000,686700,37,0,0,1,5.0,39,0,36,8,"46 (90):2, 48 (95):2, 50 (100):1, 52 (105):3, 54 (110):0",8,블랙:8
ARJA5A422N3,다크 네이비《Tech Tailoring》E.ZEGNA 수트 자켓,알레그리,A001,1897,2,[25SS],1100000,693000,37,0,0,2,5.0,170,0,4,7,"46 (90):0, 48 (95):0, 50 (100):0, 52 (105):1, 54 (110):1, 056 (115):5",26,"탁한 블루:10, 진한 그레이:9, 진한 네이비:7"
ARTS5B501WT,화이트《Da vinci Lines》그래픽 티셔츠,알레그리,A001,1897,2,[25SS],230000,144900,37,0,0,6,4.5,69,0,14,7,"95:0, 100:4, 105:3, 110:0",7,"차콜 그레이:0, 흰색:7"
