product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
WHPA4D344G2,[클리어런스][스테디셀러] 그레이 단색 면혼방 팬츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,209000,84640,59,0,0,177,4.8,3,38,107,13,"30(78cm):7, 31(80cm):3, 32(82cm):0, 33(84cm):0, 34(86cm):2, 35(88cm):0, 36(92cm):0, 37(94cm):1",111,"그레이:13, 밝은 베이지:23, 베이지:44, 네이비:31",남성의류,팬츠,롱팬츠
WHJU5A232N3,[스테디셀러] 네이비 포켓배색 패딩점퍼,헤지스 남성,WH,1002,2,[25SS],봄,1,0,0,0,0,419000,263970,37,0,0,5,4.8,600,18,102,50,"95:4, 100:23, 105:20, 110:0, 115:3, 120:0",114,"그레이:64, 진한 네이비:50",남성의류,점퍼,캐쥬얼점퍼
HZJU5C302N3,[클래식] 네이비 켄싱턴 헤링턴 자켓,헤지스 남성,HZ,1002,2,[25FW],가을,0,0,1,0,0,389000,245070,37,0,0,38,4.8,1,39,156,18,"95:18, 100:0, 105:0, 110:0, 115:0",19,"진한 네이비:18, 브라운:1",남성의류,점퍼,캐쥬얼점퍼
HZPA5B332I2,[TAPERED] 베이지 치노 팬츠,헤지스 남성,HZ,1002,2,[25SS],여름,0,1,0,0,0,199000,125370,37,0,0,1095,4.8,11,47,55,153,"74 (29):22, 78 (30):27, 80 (31):14, 82 (32):30, 84 (33):12, 86 (34):10, 88 (35):12, 92 (36):0, 94 (37):13, 98 (38):13",2131,"진한 블루:52, 그레이:0, 베이지:153, 카키:41, 네이비:1374, 청록:177, 흰색:334",남성의류,팬츠,롱팬츠
WHTS4B899G3,[반값세일][스테디셀러]그레이 퍼피로고 면혼방 반팔티셔츠,헤지스 남성,WH,1002,2,[24SS],여름,0,1,0,0,0,79000,39100,50,0,0,340,4.8,5,27,38,97,"95:15, 100:65, 105:13, 110:2, 115:2, 120:0",226,"블랙:109, 진한 그레이:97, 흰색:20",남성의류,티셔츠,반팔티셔츠
HZPA5B332N2,[TAPERED]  네이비 치노 팬츠,헤지스 남성,HZ,1002,2,[25SS],여름,0,1,0,0,0,199000,120000,39,0,0,1095,4.8,11,47,29,1374,"74 (29):62, 78 (30):178, 80 (31):169, 82 (32):288, 84 (33):206, 86 (34):180, 88 (35):119, 92 (36):85, 94 (37):51, 98 (38):36",2131,"진한 블루:52, 그레이:0, 베이지:153, 카키:41, 네이비:1374, 청록:177, 흰색:334",남성의류,팬츠,롱팬츠
WHTS4C302CG,[클리어런스][스테디셀러] 차콜그레이 단색 면 긴팔카라티셔츠,헤지스 남성,WH,1002,2,[24FW],가을,0,0,1,0,0,169000,68440,59,0,0,159,4.7,4,19,78,25,"95:16, 100:2, 105:7, 110:0, 115:0, 120:0",72,"블랙:0, 차콜 그레이:25, 진한 와인:46, 베이지:1, 진한 네이비:0",남성의류,티셔츠,긴팔티셔츠
HZJA6A237G2,그레이 폴리 헤링본 자켓,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,499000,347300,30,0,0,8,5.0,180,36,42,6,"S (95):0, M (100):0, L (105):0, XL (110):3, XXL (115):3",36,"차콜 그레이:30, 그레이:6",남성의류,자켓,숏/하프자켓
WHTS4D432E3,[클리어런스][스테디셀러] 그린 단색 면혼방 긴팔카라티셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,169000,68440,59,0,0,499,4.8,12,57,83,3,"95:3, 100:0, 105:0, 110:0, 115:0, 120:0",56,"탁한 블루:0, 블랙:0, 차콜 그레이:13, 와인:0, 진한 초록:3, 밝은 네이비:40, 네이비:0",남성의류,티셔츠,긴팔티셔츠
WHSH4D402T2,[클리어런스][스테디셀러] 터키쉬블루 체크 면 긴팔캐주얼셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,189000,76540,59,0,0,219,4.7,5,54,75,29,"095:16, 100:13, 105:0, 110:0, 115:0, 120:0",264,"블루:73, 밝은 베이지:77, 네이비:85, 청록:29",남성의류,셔츠,긴팔캐쥬얼셔츠
